message;severity;node;stamp;location
"Oh no! I hit the wall! (Clamping from [x=11.104889, y=5.544445])";"30";"turtlesim3.sim";"1695976032.457186761";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.104889, y=5.544445])";"30";"turtlesim3.sim";"1695976032.441586870";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.104889, y=5.544445])";"30";"turtlesim2.sim";"1695976032.441030642";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.104889, y=5.544445])";"30";"turtlesim1.sim";"1695976032.430333779";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.104889, y=5.544445])";"30";"turtlesim3.sim";"1695976032.425121910";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.104889, y=5.544445])";"30";"turtlesim2.sim";"1695976032.425039678";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.104889, y=5.544445])";"30";"turtlesim1.sim";"1695976032.414693744";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.104889, y=5.544445])";"30";"turtlesim3.sim";"1695976032.409575609";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.104889, y=5.544445])";"30";"turtlesim2.sim";"1695976032.409320668";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.104889, y=5.544445])";"30";"turtlesim1.sim";"1695976032.399146511";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.104889, y=5.544445])";"30";"turtlesim3.sim";"1695976032.393105529";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.104889, y=5.544445])";"30";"turtlesim2.sim";"1695976032.392796437";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.104889, y=5.544445])";"30";"turtlesim1.sim";"1695976032.382537324";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.104889, y=5.544445])";"30";"turtlesim3.sim";"1695976032.377610703";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.104889, y=5.544445])";"30";"turtlesim2.sim";"1695976032.377225460";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.104889, y=5.544445])";"30";"turtlesim1.sim";"1695976032.366919030";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.104889, y=5.544445])";"30";"turtlesim2.sim";"1695976032.361099297";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.104889, y=5.544445])";"30";"turtlesim3.sim";"1695976032.361093196";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.104889, y=5.544445])";"30";"turtlesim1.sim";"1695976032.350194239";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.104889, y=5.544445])";"30";"turtlesim2.sim";"1695976032.345375908";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.104889, y=5.544445])";"30";"turtlesim3.sim";"1695976032.345238303";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.104889, y=5.544445])";"30";"turtlesim1.sim";"1695976032.334585803";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.104889, y=5.544445])";"30";"turtlesim3.sim";"1695976032.329651738";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.104889, y=5.544445])";"30";"turtlesim2.sim";"1695976032.328857749";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.104889, y=5.544445])";"30";"turtlesim1.sim";"1695976032.319030505";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.104889, y=5.544445])";"30";"turtlesim2.sim";"1695976032.313307371";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.104889, y=5.544445])";"30";"turtlesim3.sim";"1695976032.313145481";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.104889, y=5.544445])";"30";"turtlesim1.sim";"1695976032.302592144";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.104889, y=5.544445])";"30";"turtlesim3.sim";"1695976032.297503703";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.104889, y=5.544445])";"30";"turtlesim2.sim";"1695976032.296850255";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.104889, y=5.544445])";"30";"turtlesim1.sim";"1695976032.287057133";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.104889, y=5.544445])";"30";"turtlesim2.sim";"1695976032.281474929";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.104889, y=5.544445])";"30";"turtlesim3.sim";"1695976032.281063989";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.104889, y=5.544445])";"30";"turtlesim1.sim";"1695976032.270505493";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.104889, y=5.544445])";"30";"turtlesim3.sim";"1695976032.265547724";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.104889, y=5.544445])";"30";"turtlesim2.sim";"1695976032.264957693";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.104889, y=5.544445])";"30";"turtlesim1.sim";"1695976032.255030904";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.104889, y=5.544445])";"30";"turtlesim2.sim";"1695976032.249042680";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.104889, y=5.544445])";"30";"turtlesim3.sim";"1695976032.249042559";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.104889, y=5.544445])";"30";"turtlesim1.sim";"1695976032.238570733";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.104889, y=5.544445])";"30";"turtlesim3.sim";"1695976032.233218985";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.104889, y=5.544445])";"30";"turtlesim2.sim";"1695976032.233140500";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.104889, y=5.544445])";"30";"turtlesim1.sim";"1695976032.223106262";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.104889, y=5.544445])";"30";"turtlesim3.sim";"1695976032.217581836";"./src/turtle.cpp:update:260"
